name,input_res,input_chans,a,t,r,pp,latency,fps,iou,size
512a1t6r1pp0,512,3,1,6,1,0,"0,1663","6,013229104","0,9789","1,3"
512a025t6r3pp0,512,3,"0,25",6,3,0,"0,0476","21,00840336","0,9724","0,325"
512a025t6r1pp0,512,3,"0,25",6,1,0,"0,0381","26,24671916","0,9733","0,103"
512a025t2r3pp0,512,3,"0,25",2,3,0,"0,037","27,027","0,978","0,131"
512a0125t6r2pp0,512,3,"0,125",6,2,0,"0,0244","40,98360656","0,9679","0,07"
512a0125t4r2pp0,512,3,"0,125",4,2,0,"0,0223","44,84304933","0,9717","0,052"
512a0125t2r2pp0,512,3,"0,125",2,2,0,"0,0207","48,30917874","0,9703","0,034"
512a0125t2r1pp0,512,3,"0,125",2,1,0,"0,0205","48,7804878","0,9651","0,021"
256a1t6r1pp0,256,3,1,6,1,0,"0,0431","23,20185615","0,9711","1,3"
256a025t6r3pp0,256,3,"0,25",6,3,0,"0,0121","82,6446281","0,9629","0,325"
256a025t6r1pp0,256,3,"0,25",6,1,0,"0,0091","109,8901099","0,9636","0,103"
256a025t2r3pp0,256,3,"0,25",2,3,0,"0,0092","108,6956522","0,9591","0,131"
256a0125t6r2pp0,256,3,"0,125",6,2,0,"0,0065","153,8461538","0,9613","0,07"
256a0125t4r2pp0,256,3,"0,125",4,2,0,"0,006","166,6667","0,9524","0,052"
256a0125t2r2pp0,256,3,"0,125",2,2,0,"0,0056","178,5714286","0,9541","0,034"
256a0125t2r1pp0,256,3,"0,125",2,1,0,"0,0053","188,6792453","0,9391","0,021"
192a1t6r1pp0,192,3,1,6,1,0,"0,0237","42,19409283","0,9703","1,3"
192a025t6r3pp0,192,3,"0,25",6,3,0,"0,0074","135,1351351","0,957","0,325"
192a025t6r1pp0,192,3,"0,25",6,1,0,"0,0053","188,6792453","0,9588","0,103"
192a025t2r3pp0,192,3,"0,25",2,3,0,"0,0055","181,8181818","0,9567","0,131"
192a0125t6r2pp0,192,3,"0,125",6,2,0,"0,004",250,"0,9492","0,07"
192a0125t4r2pp0,192,3,"0,125",4,2,0,"0,0037","270,2702703","0,9493","0,052"
192a0125t2r2pp0,192,3,"0,125",2,2,0,"0,0033","303,030303","0,9476","0,034"
192a0125t2r1pp0,192,3,"0,125",2,1,0,"0,0031","322,5806452","0,9275","0,021"
160a1t6r1pp0,160,3,1,6,1,0,"0,0161","62,11180124","0,9621","1,3"
160a025t6r3pp0,160,3,"0,25",6,3,0,"0,0058","172,4137931","0,9456","0,325"
160a025t6r1pp0,160,3,"0,25",6,1,0,"0,0039","256,4102564","0,9487","0,103"
160a025t2r3pp0,160,3,"0,25",2,3,0,"0,0042","238,0952381","0,9471","0,131"
160a0125t6r2pp0,160,3,"0,125",6,2,0,"0,0031","322,5806452","0,9386","0,07"
160a0125t4r2pp0,160,3,"0,125",4,2,0,"0,0028","357,1428571","0,9327","0,052"
160a0125t2r2pp0,160,3,"0,125",2,2,0,"0,0025",400,"0,9379","0,034"
160a0125t2r1pp0,160,3,"0,125",2,1,0,"0,0023","434,7826087","0,9317","0,021"
128a1t6r1pp0,128,3,1,6,1,0,"0,0107","93,45794393","0,957","1,3"
128a025t6r3pp0,128,3,"0,25",6,3,0,"0,004",250,"0,9435","0,325"
128a025t6r1pp0,128,3,"0,25",6,1,0,"0,0027","370,3703704","0,9397","0,103"
128a025t2r3pp0,128,3,"0,25",2,3,0,"0,0029","344,8275862","0,9432","0,131"
128a0125t6r2pp0,128,3,"0,125",6,2,0,"0,0022","454,5454545","0,9143","0,07"
128a0125t4r2pp0,128,3,"0,125",4,2,0,"0,002",500,"0,9255","0,052"
128a0125t2r2pp0,128,3,"0,125",2,2,0,"0,0018","555,5555556","0,9125","0,034"
128a0125t2r1pp0,128,3,"0,125",2,1,0,"0,0017","588,2352941","0,93","0,021"
96a1t6r1pp0,96,3,1,6,1,0,"0,0069","144,9275362","0,9387","1,3"
96a025t6r3pp0,96,3,"0,25",6,3,0,"0,003","333,3333","0,9259","0,325"
96a025t6r1pp0,96,3,"0,25",6,1,0,"0,0019","526,3157895","0,9101","0,103"
96a025t2r3pp0,96,3,"0,25",2,3,0,"0,0021","476,1904762","0,9283","0,131"
96a0125t6r2pp0,96,3,"0,125",6,2,0,"0,0016",625,"0,9053","0,07"
96a0125t4r2pp0,96,3,"0,125",4,2,0,"0,0015","666,6666667","0,9051","0,052"
96a0125t2r2pp0,96,3,"0,125",2,2,0,"0,0014","714,2857143","0,9027","0,034"
96a0125t2r1pp0,96,3,"0,125",2,1,0,"0,0012","833,3333333","0,9054","0,021"